,NeighborhoodID,Neighborhood,properties.name,Latitude,Longitude,Population,km2,Population_per_km2,Age_Average,single_share,women_percentage,birthrate,ageing_idx,youth_idx,unemploy_rate,welfare_receip_rate,immi_rate,gym_count,women_gym_count,gyms_per_1000pop,gyms_per_km2
0,01,01 Altstadt - Lehel,Altstadt-Lehel,48.1378285,11.5745823,20926,3.1,6652,41.7,64.8,49.7,11.2,161.3,13.9,2.1,2.0,16.4,19,0,0.9079613877473,6.129032258064516
1,02,02 Ludwigsvorstadt - Isarvorstadt,Ludwigsvorstadt-Isarvorstadt,48.1317712,11.5558087,51632,4.4,11731,39.0,64.7,48.5,11.5,107.2,13.4,3.0,3.5,16.1,33,1,0.6391385187480632,7.499999999999999
2,03,03 Maxvorstadt,Maxvorstadt,48.1465704,11.5714445,51311,4.3,11939,38.6,68.9,49.9,12.2,138.7,10.9,2.5,2.4,16.7,24,0,0.4677359630488589,5.5813953488372094
3,04,04 Schwabing - West,Schwabing-West,48.164417,11.5703639,68265,4.4,15646,40.8,61.6,52.6,11.1,148.6,15.7,2.5,2.7,18.2,9,0,0.13183915622940012,2.0454545454545454
4,05,05 Au - Haidhausen,Au-Haidhausen,48.1287531,11.5905362,60937,4.2,14441,40.1,60.3,51.3,13.7,112.1,16.9,3.0,3.4,17.5,13,1,0.21333508377504634,3.095238095238095
5,06,06 Sendling,Sendling,48.1180125,11.5390832,40682,3.9,10329,40.4,60.1,49.9,11.4,127.8,15.1,3.9,5.2,17.9,11,2,0.2703898530062436,2.8205128205128207
6,07,07 Sendling - Westpark,Sendling-Westpark,48.11803085,11.5193327702841,59386,7.8,7599,41.4,55.2,51.3,11.4,141.6,18.6,3.9,5.9,21.8,10,0,0.1683898561950628,1.2820512820512822
7,08,08 Schwanthalerhöhe,Schwanthalerhöhe,48.1342304,11.5390339,29535,2.1,14267,39.1,61.0,48.5,11.3,101.5,16.1,3.8,4.9,21.7,8,0,0.27086507533434906,3.8095238095238093
8,09,09 Neuhausen - Nymphenburg,Neuhausen-Nymphenburg,48.1542217,11.5315172,98520,12.9,7629,41.2,58.0,51.8,12.1,134.9,17.4,2.8,3.7,19.2,14,1,0.1421031262687779,1.0852713178294573
9,10,10 Moosach,Moosach,48.1798949,11.5105712,53662,11.1,4837,41.4,51.4,49.9,10.6,138.1,19.2,4.6,7.0,25.4,11,0,0.20498676903581678,0.990990990990991
10,11,11 Milbertshofen - Am Hart,Milbertshofen-Am Hart,48.1823848,11.5750432,74731,13.4,5570,39.6,53.5,48.3,11.7,122.5,17.6,4.6,7.3,32.7,5,0,0.06690663847666965,0.3731343283582089
11,12,12 Schwabing - Freimann,Schwabing-Freimann,48.1806136,11.5917664,76341,25.7,2974,39.3,56.8,49.0,11.5,118.4,17.6,2.9,4.2,22.1,34,0,0.4453701156652389,1.3229571984435797
12,13,13 Bogenhausen,Bogenhausen,48.1547823,11.6334838,85971,23.7,3626,42.9,52.1,51.9,11.0,155.8,20.1,2.7,3.2,19.7,23,0,0.26753207476939894,0.9704641350210971
13,14,14 Berg am Laim,Berg am Laim,48.1234833,11.6334511,45582,6.3,7219,41.1,54.3,50.5,13.2,126.5,19.7,4.5,7.2,25.8,13,0,0.28520029836338906,2.0634920634920637
14,15,15 Trudering - Riem,Trudering-Riem,48.1231749,11.6640782,72006,22.5,3207,39.8,41.2,49.9,11.4,87.4,26.3,3.3,5.3,23.2,11,0,0.15276504735716467,0.4888888888888889
15,16,16 Ramersdorf - Perlach,Ramersdorf-Perlach,48.1147102,11.6132308,114478,19.9,5754,42.1,48.2,50.8,10.2,141.3,21.4,4.4,7.5,30.7,19,1,0.16597075420604832,0.9547738693467337
16,17,17 Obergiesing - Fasangarten,Obergiesing-Fasangarten,48.1111557,11.5889093,53937,5.7,9429,40.2,58.2,49.7,13.2,122.8,16.9,3.6,5.2,21.5,3,0,0.05562044607597753,0.5263157894736842
17,18,18 Untergiesing - Harlaching,Untergiesing-Harlaching,48.1149632,11.5701894,52600,8.1,6529,42.8,59.7,51.2,10.6,161.9,17.2,3.6,4.4,16.2,10,0,0.19011406844106463,1.234567901234568
18,19,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.1013214,11.5461667,95554,17.8,5379,43.1,51.7,50.9,11.3,162.5,19.7,3.1,4.2,19.5,22,2,0.23023630617242608,1.2359550561797752
19,20,20 Hadern,Hadern,48.118064,11.4818417,49626,9.2,5380,43.2,47.9,52.5,9.8,176.4,18.9,3.2,5.0,22.3,2,0,0.04030145488252126,0.2173913043478261
20,21,21 Pasing - Obermenzing,Pasing-Obermenzing,48.1477854,11.4607008,74098,16.5,4491,42.3,49.0,51.0,11.1,134.8,21.6,3.3,4.7,17.3,8,3,0.10796512726389376,0.48484848484848486
21,22,22 Aubing - Lochhausen - Langwied,Aubing-Lochhausen-Langwied,48.1584371,11.4140662,46385,34.1,1362,41.6,42.7,50.1,12.1,129.5,23.1,3.4,5.6,22.6,3,0,0.06467608062951385,0.0879765395894428
22,23,23 Allach - Untermenzing,Allach-Untermenzing,48.1959936,11.4570128,32677,15.5,2115,42.1,41.5,49.8,11.2,128.5,22.1,2.9,4.5,16.6,2,0,0.06120512898980935,0.12903225806451613
23,24,24 Feldmoching - Hasenbergl,Feldmoching-Hasenbergl,48.2159429,11.533323,60933,28.9,2106,41.4,45.0,49.6,10.9,122.6,22.7,4.5,7.0,27.2,2,0,0.032822936668143704,0.06920415224913495
24,25,25 Laim,Laim,48.1395506,11.5021658,56281,5.3,10647,42.2,59.5,51.2,11.2,172.5,15.6,3.7,5.1,19.5,13,0,0.2309838133650788,2.452830188679245
